idMaintenace;dateMaintenace;issuesFound;workDescription;idUser;idMachine;;;;
1;2024-09-13 16:44:04;Зависла сессия оплаты;Замена дисплея;7a051229-40bb-443e-80b8-024cb239f52b;a977e322-192c-4567-9f5f-36f504bfc13d;;;;
2;2024-04-25 06:59:09;Проблемы с термобумагой;Чистка внутренних узлов;7a051229-40bb-443e-80b8-024cb239f52b;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;;;;
3;2024-07-12 19:03:57;Проблемы с термобумагой;Ремонт купюроприемника;c59a07db-17d1-4769-9d5c-19c0ab4d435c;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;;;;
4;2024-04-25 17:14:31;Не закрывается люк обслуживания;Загрузка новой товарной матрицы;c59a07db-17d1-4769-9d5c-19c0ab4d435c;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;;;;
5;2024-06-24 21:04:11;Не закрывается люк обслуживания;Замена модема;7a051229-40bb-443e-80b8-024cb239f52b;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;;;;
6;2025-01-01 12:19:46;Зависла сессия оплаты;Загрузка новой товарной матрицы;c59a07db-17d1-4769-9d5c-19c0ab4d435c;4daae871-71ac-44da-8b58-dcf1a2ae907a;;;;
7;2024-08-10 13:05:26;Не закрывается люк обслуживания;Пополнение товара;7a051229-40bb-443e-80b8-024cb239f52b;70f22c9f-de0a-41a9-9a53-cabf42688d47;;;;
8;2024-05-24 17:35:03;Ошибка дисплея;Замена дисплея;ec90762d-3e3d-413a-b8c5-b86c93ddb52f;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;;;;
9;2025-03-11 03:33:16;Протечка в отсеке с напитками;Настройка сетевого соединения;7a051229-40bb-443e-80b8-024cb239f52b;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;;;;
10;2025-02-15 15:55:12;Сбой системы оплаты;Чистка внутренних узлов;c59a07db-17d1-4769-9d5c-19c0ab4d435c;dc92a945-80cf-4c86-8927-97026c6e82da;;;;
11;2024-04-22 10:03:38;Зависла сессия оплаты;Обновление программного обеспечения;7a051229-40bb-443e-80b8-024cb239f52b;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;;;;
12;2024-12-24 11:06:11;;Проверка телеметрии;c59a07db-17d1-4769-9d5c-19c0ab4d435c;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;;;;
13;2024-10-04 10:54:29;Зависла сессия оплаты;Замена дисплея;7a051229-40bb-443e-80b8-024cb239f52b;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;;;;
14;2025-02-12 12:21:02;Не работает модем;Обновление программного обеспечения;7a051229-40bb-443e-80b8-024cb239f52b;89c05e76-6b7e-4d72-b97c-62ecb96b1370;;;;
15;2024-06-12 06:45:32;Зависла сессия оплаты;Настройка сетевого соединения;ec90762d-3e3d-413a-b8c5-b86c93ddb52f;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;;;;
16;2024-08-06 11:59:47;Не работает модем;Перезагрузка системы;7a051229-40bb-443e-80b8-024cb239f52b;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;;;;
17;2024-12-19 05:04:37;;Замена модема;c59a07db-17d1-4769-9d5c-19c0ab4d435c;4daae871-71ac-44da-8b58-dcf1a2ae907a;;;;
18;2024-11-23 03:36:54;Протечка в отсеке с напитками;Обновление программного обеспечения;7a051229-40bb-443e-80b8-024cb239f52b;70f22c9f-de0a-41a9-9a53-cabf42688d47;;;;
19;2025-03-26 21:18:26;Аппарат не выдает товар;Пополнение товара;c59a07db-17d1-4769-9d5c-19c0ab4d435c;4daae871-71ac-44da-8b58-dcf1a2ae907a;;;;
20;2025-02-03 02:01:45;Проблемы с термобумагой;Ремонт купюроприемника;7a051229-40bb-443e-80b8-024cb239f52b;a977e322-192c-4567-9f5f-36f504bfc13d;;;;
21;2024-11-20 11:29:25;Проблемы с термобумагой;Настройка сетевого соединения;ec90762d-3e3d-413a-b8c5-b86c93ddb52f;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;;;;
22;2024-12-17 12:08:29;Не закрывается люк обслуживания;Чистка внутренних узлов;c59a07db-17d1-4769-9d5c-19c0ab4d435c;dc92a945-80cf-4c86-8927-97026c6e82da;;;;
23;2024-04-20 07:06:14;;Замена дисплея;7a051229-40bb-443e-80b8-024cb239f52b;a977e322-192c-4567-9f5f-36f504bfc13d;;;;
24;2024-12-28 15:43:21;Аппарат не выдает товар;Замена дисплея;ec90762d-3e3d-413a-b8c5-b86c93ddb52f;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;;;;
25;2024-11-17 14:14:58;Не работает модем;Настройка сетевого соединения;c59a07db-17d1-4769-9d5c-19c0ab4d435c;4daae871-71ac-44da-8b58-dcf1a2ae907a;;;;
26;2024-08-27 00:54:11;Заклинил монетоприемник;Проверка телеметрии;7a051229-40bb-443e-80b8-024cb239f52b;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;;;;
27;2024-09-13 13:21:43;;Замена дисплея;c59a07db-17d1-4769-9d5c-19c0ab4d435c;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;;;;
28;2025-02-26 20:26:20;Не работает модем;Обновление программного обеспечения;7a051229-40bb-443e-80b8-024cb239f52b;70f22c9f-de0a-41a9-9a53-cabf42688d47;;;;
29;2024-10-30 15:03:25;Повреждён корпус;Проверка телеметрии;c59a07db-17d1-4769-9d5c-19c0ab4d435c;4daae871-71ac-44da-8b58-dcf1a2ae907a;;;;
30;2024-09-15 13:49:48;Не закрывается люк обслуживания;Пополнение товара;c59a07db-17d1-4769-9d5c-19c0ab4d435c;4daae871-71ac-44da-8b58-dcf1a2ae907a;;;;
31;2024-09-05 14:35:25;Заклинил монетоприемник;Загрузка новой товарной матрицы;c59a07db-17d1-4769-9d5c-19c0ab4d435c;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;;;;
32;2025-01-19 22:23:29;Заклинил монетоприемник;Замена модема;c59a07db-17d1-4769-9d5c-19c0ab4d435c;4daae871-71ac-44da-8b58-dcf1a2ae907a;;;;
33;2025-02-05 07:02:31;Проблемы с термобумагой;Проверка телеметрии;7a051229-40bb-443e-80b8-024cb239f52b;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;;;;
34;2024-08-29 18:51:26;Не закрывается люк обслуживания;Ремонт купюроприемника;ec90762d-3e3d-413a-b8c5-b86c93ddb52f;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;;;;
35;2024-09-15 23:46:26;Проблемы с термобумагой;Проверка телеметрии;c59a07db-17d1-4769-9d5c-19c0ab4d435c;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;;;;
36;2024-11-13 16:04:30;Не работает модем;Обновление программного обеспечения;c59a07db-17d1-4769-9d5c-19c0ab4d435c;4daae871-71ac-44da-8b58-dcf1a2ae907a;;;;
37;2024-06-07 05:39:43;Не закрывается люк обслуживания;Загрузка новой товарной матрицы;c59a07db-17d1-4769-9d5c-19c0ab4d435c;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;;;;
38;2024-10-12 17:58:46;Проблемы с термобумагой;Проверка телеметрии;7a051229-40bb-443e-80b8-024cb239f52b;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;;;;
39;2024-08-06 11:20:51;Проблемы с термобумагой;Пополнение товара;c59a07db-17d1-4769-9d5c-19c0ab4d435c;dc92a945-80cf-4c86-8927-97026c6e82da;;;;
40;2024-10-13 09:39:53;Не работает модем;Ремонт купюроприемника;7a051229-40bb-443e-80b8-024cb239f52b;a977e322-192c-4567-9f5f-36f504bfc13d;;;;
41;2024-09-19 06:27:26;Не работает модем;Замена модема;ec90762d-3e3d-413a-b8c5-b86c93ddb52f;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;;;;
42;2024-11-27 07:34:15;Сбой системы оплаты;Перезагрузка системы;c59a07db-17d1-4769-9d5c-19c0ab4d435c;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;;;;
43;2025-03-11 08:15:13;Проблемы с термобумагой;Чистка внутренних узлов;c59a07db-17d1-4769-9d5c-19c0ab4d435c;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;;;;
44;2024-04-29 04:35:32;Не работает модем;Обновление программного обеспечения;c59a07db-17d1-4769-9d5c-19c0ab4d435c;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;;;;
45;2024-08-13 04:23:05;Ошибка дисплея;Перезагрузка системы;c59a07db-17d1-4769-9d5c-19c0ab4d435c;dc92a945-80cf-4c86-8927-97026c6e82da;;;;
46;2024-10-30 08:19:50;Не работает модем;Чистка внутренних узлов;c59a07db-17d1-4769-9d5c-19c0ab4d435c;dc92a945-80cf-4c86-8927-97026c6e82da;;;;
47;2024-11-30 20:44:39;Аппарат не выдает товар;Проверка телеметрии;c59a07db-17d1-4769-9d5c-19c0ab4d435c;dc92a945-80cf-4c86-8927-97026c6e82da;;;;
48;2024-10-27 21:59:14;Протечка в отсеке с напитками;Чистка внутренних узлов;7a051229-40bb-443e-80b8-024cb239f52b;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;;;;
49;2024-09-29 04:25:59;Не работает модем;Загрузка новой товарной матрицы;7a051229-40bb-443e-80b8-024cb239f52b;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;;;;
50;2024-05-14 06:11:43;Проблемы с термобумагой;Замена модема;7a051229-40bb-443e-80b8-024cb239f52b;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;;;;
51;2024-09-09 23:34:56;Не закрывается люк обслуживания;Обновление программного обеспечения;ec90762d-3e3d-413a-b8c5-b86c93ddb52f;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;;;;
52;2024-05-10 03:54:29;Зависла сессия оплаты;Пополнение товара;7a051229-40bb-443e-80b8-024cb239f52b;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;;;;
53;2024-12-30 04:34:14;Не работает модем;Ремонт купюроприемника;ec90762d-3e3d-413a-b8c5-b86c93ddb52f;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;;;;
54;2024-06-10 15:24:21;Сбой системы оплаты;Замена модема;c59a07db-17d1-4769-9d5c-19c0ab4d435c;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;;;;
55;2024-05-24 21:02:58;Сбой системы оплаты;Чистка внутренних узлов;ec90762d-3e3d-413a-b8c5-b86c93ddb52f;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;;;;
56;2025-01-05 04:19:31;Повреждён корпус;Обновление программного обеспечения;c59a07db-17d1-4769-9d5c-19c0ab4d435c;dc92a945-80cf-4c86-8927-97026c6e82da;;;;
57;2024-07-28 18:06:17;Аппарат не выдает товар;Загрузка новой товарной матрицы;c59a07db-17d1-4769-9d5c-19c0ab4d435c;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;;;;
58;2024-12-25 14:02:09;Не работает модем;Проверка телеметрии;7a051229-40bb-443e-80b8-024cb239f52b;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;;;;
59;2024-08-08 17:56:05;Не закрывается люк обслуживания;Пополнение товара;7a051229-40bb-443e-80b8-024cb239f52b;89c05e76-6b7e-4d72-b97c-62ecb96b1370;;;;
60;2025-02-12 06:52:27;Протечка в отсеке с напитками;Обновление программного обеспечения;7a051229-40bb-443e-80b8-024cb239f52b;70f22c9f-de0a-41a9-9a53-cabf42688d47;;;;
61;2025-02-11 23:51:43;Аппарат не выдает товар;Перезагрузка системы;7a051229-40bb-443e-80b8-024cb239f52b;70f22c9f-de0a-41a9-9a53-cabf42688d47;;;;
62;2024-06-11 12:52:13;;Пополнение товара;7a051229-40bb-443e-80b8-024cb239f52b;a977e322-192c-4567-9f5f-36f504bfc13d;;;;
63;2024-09-22 20:55:21;Повреждён корпус;Пополнение товара;7a051229-40bb-443e-80b8-024cb239f52b;89c05e76-6b7e-4d72-b97c-62ecb96b1370;;;;
64;2024-07-13 02:20:00;Не закрывается люк обслуживания;Чистка внутренних узлов;c59a07db-17d1-4769-9d5c-19c0ab4d435c;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;;;;
65;2024-09-20 15:26:23;Проблемы с термобумагой;Пополнение товара;7a051229-40bb-443e-80b8-024cb239f52b;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;;;;
66;2025-02-28 22:34:41;Аппарат не выдает товар;Чистка внутренних узлов;c59a07db-17d1-4769-9d5c-19c0ab4d435c;dc92a945-80cf-4c86-8927-97026c6e82da;;;;
67;2025-03-03 13:25:16;Аппарат не выдает товар;Замена модема;7a051229-40bb-443e-80b8-024cb239f52b;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;;;;
68;2025-01-07 20:34:07;Заклинил монетоприемник;Загрузка новой товарной матрицы;c59a07db-17d1-4769-9d5c-19c0ab4d435c;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;;;;
69;2024-08-02 16:44:29;Протечка в отсеке с напитками;Пополнение товара;7a051229-40bb-443e-80b8-024cb239f52b;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;;;;
70;2024-08-17 13:28:03;;Ремонт купюроприемника;c59a07db-17d1-4769-9d5c-19c0ab4d435c;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;;;;
71;2024-08-14 18:55:25;Ошибка дисплея;Ремонт купюроприемника;c59a07db-17d1-4769-9d5c-19c0ab4d435c;dc92a945-80cf-4c86-8927-97026c6e82da;;;;
72;2024-04-14 02:41:19;Заклинил монетоприемник;Чистка внутренних узлов;7a051229-40bb-443e-80b8-024cb239f52b;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;;;;
73;2024-05-09 18:22:27;Аппарат не выдает товар;Настройка сетевого соединения;c59a07db-17d1-4769-9d5c-19c0ab4d435c;4daae871-71ac-44da-8b58-dcf1a2ae907a;;;;
74;2024-07-14 20:16:52;Проблемы с термобумагой;Обновление программного обеспечения;7a051229-40bb-443e-80b8-024cb239f52b;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;;;;
75;2024-06-18 01:04:53;Не работает модем;Проверка телеметрии;7a051229-40bb-443e-80b8-024cb239f52b;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;;;;
76;2025-04-10 13:39:19;Повреждён корпус;Настройка сетевого соединения;7a051229-40bb-443e-80b8-024cb239f52b;70f22c9f-de0a-41a9-9a53-cabf42688d47;;;;
77;2024-08-31 03:27:26;Протечка в отсеке с напитками;Замена дисплея;7a051229-40bb-443e-80b8-024cb239f52b;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;;;;
78;2024-07-21 22:14:06;Аппарат не выдает товар;Перезагрузка системы;c59a07db-17d1-4769-9d5c-19c0ab4d435c;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;;;;
79;2024-07-19 08:24:09;Аппарат не выдает товар;Чистка внутренних узлов;c59a07db-17d1-4769-9d5c-19c0ab4d435c;4daae871-71ac-44da-8b58-dcf1a2ae907a;;;;
80;2024-05-31 15:24:35;Зависла сессия оплаты;Пополнение товара;7a051229-40bb-443e-80b8-024cb239f52b;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;;;;
81;2024-12-26 05:59:36;Не закрывается люк обслуживания;Ремонт купюроприемника;7a051229-40bb-443e-80b8-024cb239f52b;89c05e76-6b7e-4d72-b97c-62ecb96b1370;;;;
82;2025-02-22 22:11:33;;Пополнение товара;7a051229-40bb-443e-80b8-024cb239f52b;70f22c9f-de0a-41a9-9a53-cabf42688d47;;;;
83;2025-01-22 18:18:20;Ошибка дисплея;Замена дисплея;7a051229-40bb-443e-80b8-024cb239f52b;a977e322-192c-4567-9f5f-36f504bfc13d;;;;
84;2024-11-27 19:58:37;Заклинил монетоприемник;Пополнение товара;7a051229-40bb-443e-80b8-024cb239f52b;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;;;;
85;2024-11-10 18:56:38;Аппарат не выдает товар;Перезагрузка системы;7a051229-40bb-443e-80b8-024cb239f52b;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;;;;
86;2024-05-21 16:47:26;;Загрузка новой товарной матрицы;c59a07db-17d1-4769-9d5c-19c0ab4d435c;dc92a945-80cf-4c86-8927-97026c6e82da;;;;
87;2024-10-11 19:23:46;;Перезагрузка системы;c59a07db-17d1-4769-9d5c-19c0ab4d435c;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;;;;
88;2025-02-12 15:53:35;Не работает модем;Ремонт купюроприемника;7a051229-40bb-443e-80b8-024cb239f52b;a977e322-192c-4567-9f5f-36f504bfc13d;;;;
89;2024-12-02 14:35:10;Протечка в отсеке с напитками;Проверка телеметрии;ec90762d-3e3d-413a-b8c5-b86c93ddb52f;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;;;;
90;2024-08-02 22:52:50;Заклинил монетоприемник;Пополнение товара;ec90762d-3e3d-413a-b8c5-b86c93ddb52f;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;;;;
91;2024-09-08 05:50:56;Проблемы с термобумагой;Загрузка новой товарной матрицы;7a051229-40bb-443e-80b8-024cb239f52b;a977e322-192c-4567-9f5f-36f504bfc13d;;;;
92;2025-02-27 06:44:04;Сбой системы оплаты;Замена дисплея;7a051229-40bb-443e-80b8-024cb239f52b;89c05e76-6b7e-4d72-b97c-62ecb96b1370;;;;
93;2024-08-19 01:45:46;Не закрывается люк обслуживания;Загрузка новой товарной матрицы;7a051229-40bb-443e-80b8-024cb239f52b;70f22c9f-de0a-41a9-9a53-cabf42688d47;;;;
94;2024-06-20 05:28:18;Зависла сессия оплаты;Чистка внутренних узлов;7a051229-40bb-443e-80b8-024cb239f52b;70f22c9f-de0a-41a9-9a53-cabf42688d47;;;;
95;2025-01-19 03:51:13;Сбой системы оплаты;Проверка телеметрии;7a051229-40bb-443e-80b8-024cb239f52b;89c05e76-6b7e-4d72-b97c-62ecb96b1370;;;;
96;2025-01-01 16:27:17;Протечка в отсеке с напитками;Замена модема;7a051229-40bb-443e-80b8-024cb239f52b;70f22c9f-de0a-41a9-9a53-cabf42688d47;;;;
97;2024-12-10 11:30:29;Заклинил монетоприемник;Загрузка новой товарной матрицы;7a051229-40bb-443e-80b8-024cb239f52b;89c05e76-6b7e-4d72-b97c-62ecb96b1370;;;;
98;2024-06-04 04:43:01;Зависла сессия оплаты;Ремонт купюроприемника;c59a07db-17d1-4769-9d5c-19c0ab4d435c;dc92a945-80cf-4c86-8927-97026c6e82da;;;;
99;2025-04-08 22:11:18;Повреждён корпус;Чистка внутренних узлов;c59a07db-17d1-4769-9d5c-19c0ab4d435c;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;;;;
100;2024-04-23 11:05:22;Зависла сессия оплаты;Загрузка новой товарной матрицы;c59a07db-17d1-4769-9d5c-19c0ab4d435c;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;;;;
